V200001,V162031x,V162062x
216720,1,2
211992,0,-2
223056,1,5
203380,1,2
206815,1,2
215109,1,-2
205447,1,3
224387,0,-2
209593,1,2
226192,1,1
232647,0,-2
217808,1,2
236045,1,2
202646,1,1
227423,1,1
211299,1,2
229481,-2,-2
209258,1,2
232654,1,2
200015,1,2
219309,1,2
212308,1,1
214861,1,2
209883,1,1
206068,1,2
223889,1,-2
204390,1,1
218856,1,2
224486,1,2
201872,1,1
231361,1,2
202103,-2,-2
233398,1,1
225373,1,1
236083,1,2
227126,1,2
207351,1,2
209937,1,1
216140,1,1
220392,1,1
233305,0,-2
235127,1,1
206242,1,2
206143,1,1
214007,0,-2
212315,1,1
221869,0,-2
229887,0,-2
218238,0,-2
203502,1,2
208408,1,2
226253,1,1
209692,1,1
219453,1,1
219798,1,1
201889,-2,-2
201032,1,1
214656,1,2
201445,1,2
202257,1,2
223599,1,-2
209197,1,2
230641,1,2
218733,1,1
228013,-2,-2
205676,1,3
201131,1,2
209876,0,-2
211787,1,1
215659,1,2
233695,1,2
226840,1,1
215802,1,2
230399,1,1
220200,1,2
213028,1,1
233893,1,1
203199,-2,-2
212674,1,2
233824,-2,-2
213578,1,1
213813,1,5
225472,1,1
201780,1,2
232302,0,-2
214939,1,1
221876,0,-2
201230,1,1
230634,-2,-2
225298,1,1
231262,1,2
201827,0,-2
229825,0,-2
208507,-2,-2
234636,1,1
206327,1,3
212537,1,1
209036,1,2
209135,1,1
233770,1,2
213486,0,-2
204857,1,1
206174,1,2
217068,1,1
212193,1,2
211657,1,1
218993,1,1
233640,1,1
227393,1,1
223940,1,2
207474,1,1
222831,1,1
200541,1,2
219644,1,2
229054,1,3
212780,1,1
223780,-2,-2
216584,1,1
201803,1,1
221548,1,1
212865,1,2
229870,1,1
208668,1,2
213585,1,2
200169,1,1
226987,1,1
212322,0,-2
217266,1,5
203984,1,1
224011,1,1
211909,1,-9
214342,0,-2
205881,1,2
222220,0,-2
217037,1,1
221128,1,1
208804,1,2
203762,1,1
227515,1,2
210012,1,1
219286,1,3
216829,1,2
205096,-2,-2
228327,1,1
232753,1,2
233237,1,1
220118,-2,-2
223292,0,-2
226802,1,2
229641,-2,-2
215772,1,2
200824,0,-2
205898,1,1
227355,1,-9
212902,1,1
207467,1,2
201902,1,1
225458,1,-9
232128,1,1
225342,-2,-2
215833,1,2
209623,1,2
223124,1,1
200589,1,2
204765,1,1
224325,1,1
205829,1,1
229733,1,2
235028,1,1
235165,1,2
212797,1,2
217075,1,1
234810,1,1
224349,1,2
209678,1,1
221678,1,1
223063,1,1
202479,1,2
211985,1,2
232197,1,3
212025,1,1
226543,-2,-2
207597,-2,-2
213219,0,-2
223087,1,1
221418,1,1
224042,-2,-2
203137,1,2
209685,1,1
